,Rk,G,HomeAway,Opp,WinLoss,TmScore,OppScore,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Empty,O_eFG%,O_TOV%,O_ORB%,O_FTFTA,Empty,D_eFG%,D_TOV%,D_ORB%,D_FTFTA,Team
2015-10-27,1,1,,DET,L,94,106,98.6,111.2,95.3,0.183,0.329,0.53,40.4,59.5,9.4,6.0,,0.5,14.5,16.3,0.146,,0.448,12.3,58.9,0.208,ATL
2015-10-29,2,2,@,NYK,W,112,101,110.2,99.4,101.7,0.313,0.289,0.593,44.8,61.9,10.8,6.3,,0.566,13.7,17.9,0.217,,0.441,17.0,66.7,0.204,ATL
2015-10-30,3,3,,CHO,W,97,94,99.3,96.3,97.7,0.265,0.277,0.523,45.5,63.9,9.2,6.9,,0.482,13.9,16.3,0.205,,0.477,16.1,74.0,0.114,ATL
2015-11-01,4,4,@,CHO,W,94,92,101.2,99.0,92.9,0.159,0.33,0.499,51.6,59.5,9.7,12.2,,0.46,10.5,20.0,0.148,,0.453,10.6,81.3,0.163,ATL
2015-11-03,5,5,@,MIA,W,98,92,101.6,95.4,96.4,0.244,0.233,0.492,51.0,67.6,10.4,1.7,,0.45,13.1,30.8,0.189,,0.471,16.2,72.9,0.128,ATL
2015-11-04,6,6,,BRK,W,101,87,111.1,95.7,90.9,0.316,0.289,0.583,44.2,73.0,16.5,16.1,,0.539,13.1,17.1,0.25,,0.464,17.6,66.7,0.12,ATL
2015-11-06,7,7,@,NOP,W,121,115,122.3,116.3,98.9,0.455,0.273,0.655,56.2,73.2,10.1,11.1,,0.591,14.0,18.8,0.39,,0.56,11.3,85.4,0.25,ATL
2015-11-07,8,8,,WAS,W,114,99,114.4,99.3,99.7,0.163,0.359,0.578,48.8,86.0,12.0,7.4,,0.538,12.4,23.3,0.163,,0.538,21.9,78.4,0.192,ATL
2015-11-09,9,9,,MIN,L,107,117,107.4,117.5,99.6,0.081,0.36,0.601,40.3,68.2,13.1,9.2,,0.587,16.0,11.1,0.07,,0.619,17.5,74.2,0.225,ATL
2015-11-11,10,10,,NOP,W,106,98,109.3,101.0,97.0,0.186,0.302,0.57,52.4,61.9,10.3,13.0,,0.547,11.4,20.0,0.14,,0.53,17.5,81.8,0.12,ATL
2015-11-13,11,11,@,BOS,L,93,106,98.6,112.4,94.3,0.263,0.263,0.548,41.2,72.2,3.2,2.9,,0.513,15.9,13.2,0.197,,0.461,8.5,63.8,0.107,ATL
2015-11-15,12,12,,UTA,L,96,97,108.2,109.3,88.8,0.224,0.289,0.575,45.2,70.3,10.1,9.1,,0.539,15.2,21.1,0.184,,0.559,16.9,71.4,0.158,ATL
2015-11-17,13,13,@,BRK,L,88,90,96.1,98.3,91.6,0.184,0.382,0.536,50.0,66.7,7.6,10.9,,0.513,19.6,18.6,0.132,,0.494,10.9,80.0,0.083,ATL
2015-11-18,14,14,,SAC,W,103,97,105.4,99.3,97.7,0.27,0.337,0.517,46.4,60.5,9.2,8.6,,0.478,9.9,23.5,0.202,,0.471,17.6,71.7,0.186,ATL
2015-11-21,15,15,@,CLE,L,97,109,103.6,116.4,93.6,0.291,0.326,0.5,42.7,68.8,10.7,7.1,,0.436,11.0,23.1,0.256,,0.547,13.0,70.3,0.188,ATL
