,Team,Date,HomeAway,Opp,WinLoss,TmScore,OppScore,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O_eFG%,O_TOV%,O_ORB%,O_FTFTA,D_eFG%,D_TOV%,D_ORB%,D_FTFTA
0,ATL,2010-10-27,0,MEM,1.0,119,104,120.2,105.1,99.0,0.388,0.2,0.635,53.0,47.6,7.1,11.7,0.575,13.8,23.1,0.338,0.488,12.6,79.5,0.233
1,ATL,2010-10-29,0,PHI,1.0,104,101,112.7,109.5,92.3,0.443,0.243,0.622,56.1,66.7,3.3,10.8,0.557,19.3,29.4,0.371,0.441,7.4,75.0,0.306
2,ATL,2010-10-30,1,WAS,1.0,99,95,107.0,102.7,92.5,0.37,0.235,0.525,55.8,55.9,4.3,6.3,0.451,14.5,33.3,0.321,0.526,16.6,78.9,0.197
3,ATL,2010-11-02,0,CLE,1.0,100,88,114.1,100.5,87.6,0.357,0.202,0.514,49.4,70.3,8.0,12.3,0.47,6.7,29.2,0.25,0.466,14.1,74.4,0.257
4,ATL,2010-11-03,1,DET,1.0,94,85,111.2,100.6,84.5,0.343,0.209,0.609,47.9,69.4,3.6,4.1,0.56,14.4,12.5,0.284,0.417,7.6,65.3,0.111
5,ATL,2010-11-05,0,MIN,1.0,113,103,117.2,106.9,96.4,0.321,0.222,0.611,50.6,61.4,5.2,10.4,0.568,14.0,23.5,0.259,0.465,9.5,68.6,0.111
6,ATL,2010-11-07,1,PHO,0.0,114,118,123.8,128.1,92.1,0.265,0.277,0.615,53.3,64.4,6.5,6.9,0.584,13.1,35.1,0.205,0.623,13.4,71.1,0.21
7,ATL,2010-11-08,0,ORL,0.0,89,93,98.0,102.4,90.8,0.211,0.171,0.536,51.7,50.0,6.6,4.7,0.5,15.3,22.0,0.171,0.453,9.4,77.1,0.174
8,ATL,2010-11-10,1,MIL,0.0,91,108,99.8,118.5,91.2,0.288,0.178,0.553,42.1,66.7,3.3,4.2,0.527,17.1,17.5,0.192,0.563,11.4,69.4,0.115
9,ATL,2010-11-12,1,UTA,0.0,86,90,103.0,107.8,83.5,0.296,0.268,0.536,48.8,65.7,6.0,6.9,0.528,15.7,28.2,0.155,0.452,8.9,66.7,0.167
10,ATL,2010-11-14,1,MIN,1.0,111,105,116.3,110.0,95.5,0.488,0.138,0.571,50.6,61.1,12.6,12.3,0.481,13.4,35.7,0.425,0.526,18.6,67.6,0.295
11,ATL,2010-11-16,0,IND,1.0,102,92,120.0,108.2,85.0,0.311,0.203,0.606,41.7,70.3,4.7,15.4,0.554,9.7,14.3,0.27,0.471,15.3,67.6,0.371
12,ATL,2010-11-20,1,DAL,0.0,93,98,104.3,109.9,89.2,0.123,0.309,0.544,48.1,71.8,9.0,7.2,0.525,12.3,18.9,0.099,0.512,12.7,75.0,0.171
