,Datetime,Away,Home
0,2015-10-27,Detroit Pistons,Atlanta Hawks
1,2015-10-27,Cleveland Cavaliers,Chicago Bulls
2,2015-10-27,New Orleans Pelicans,Golden State Warriors
3,2015-10-28,Philadelphia 76ers,Boston Celtics
4,2015-10-28,Chicago Bulls,Brooklyn Nets
5,2015-10-28,Utah Jazz,Detroit Pistons
6,2015-10-28,Denver Nuggets,Houston Rockets
7,2015-10-28,Minnesota Timberwolves,Los Angeles Lakers
8,2015-10-28,Cleveland Cavaliers,Memphis Grizzlies
9,2015-10-28,Charlotte Hornets,Miami Heat
10,2015-10-28,New York Knicks,Milwaukee Bucks
11,2015-10-28,San Antonio Spurs,Oklahoma City Thunder
12,2015-10-28,Washington Wizards,Orlando Magic
13,2015-10-28,Dallas Mavericks,Phoenix Suns
14,2015-10-28,New Orleans Pelicans,Portland Trail Blazers
15,2015-10-28,Los Angeles Clippers,Sacramento Kings
16,2015-10-28,Indiana Pacers,Toronto Raptors
17,2015-10-29,Memphis Grizzlies,Indiana Pacers
18,2015-10-29,Dallas Mavericks,Los Angeles Clippers
19,2015-10-29,Atlanta Hawks,New York Knicks
20,2015-10-30,Charlotte Hornets,Atlanta Hawks
21,2015-10-30,Toronto Raptors,Boston Celtics
22,2015-10-30,Miami Heat,Cleveland Cavaliers
23,2015-10-30,Minnesota Timberwolves,Denver Nuggets
24,2015-10-30,Chicago Bulls,Detroit Pistons
25,2015-10-30,Golden State Warriors,Houston Rockets
26,2015-10-30,Washington Wizards,Milwaukee Bucks
27,2015-10-30,Oklahoma City Thunder,Orlando Magic
28,2015-10-30,Utah Jazz,Philadelphia 76ers
29,2015-10-30,Portland Trail Blazers,Phoenix Suns
30,2015-10-30,Los Angeles Lakers,Sacramento Kings
31,2015-10-30,Brooklyn Nets,San Antonio Spurs
32,2015-10-31,Utah Jazz,Indiana Pacers
33,2015-10-31,Sacramento Kings,Los Angeles Clippers
34,2015-10-31,Brooklyn Nets,Memphis Grizzlies
35,2015-10-31,Golden State Warriors,New Orleans Pelicans
36,2015-10-31,Phoenix Suns,Portland Trail Blazers
37,2015-10-31,New York Knicks,Washington Wizards
38,2015-11-01,San Antonio Spurs,Boston Celtics
39,2015-11-01,Orlando Magic,Chicago Bulls
40,2015-11-01,Atlanta Hawks,Charlotte Hornets
41,2015-11-01,Dallas Mavericks,Los Angeles Lakers
42,2015-11-01,Houston Rockets,Miami Heat
43,2015-11-01,Denver Nuggets,Oklahoma City Thunder
44,2015-11-01,Milwaukee Bucks,Toronto Raptors
45,2015-11-02,Milwaukee Bucks,Brooklyn Nets
46,2015-11-02,Memphis Grizzlies,Golden State Warriors
47,2015-11-02,Oklahoma City Thunder,Houston Rockets
48,2015-11-02,Phoenix Suns,Los Angeles Clippers
49,2015-11-02,Portland Trail Blazers,Minnesota Timberwolves
50,2015-11-02,San Antonio Spurs,New York Knicks
51,2015-11-02,Cleveland Cavaliers,Philadelphia 76ers
52,2015-11-03,Chicago Bulls,Charlotte Hornets
53,2015-11-03,Toronto Raptors,Dallas Mavericks
54,2015-11-03,Indiana Pacers,Detroit Pistons
55,2015-11-03,Denver Nuggets,Los Angeles Lakers
56,2015-11-03,Atlanta Hawks,Miami Heat
57,2015-11-03,Orlando Magic,New Orleans Pelicans
58,2015-11-03,Memphis Grizzlies,Sacramento Kings
59,2015-11-04,Brooklyn Nets,Atlanta Hawks
60,2015-11-04,New York Knicks,Cleveland Cavaliers
61,2015-11-04,Los Angeles Clippers,Golden State Warriors
62,2015-11-04,Orlando Magic,Houston Rockets
63,2015-11-04,Boston Celtics,Indiana Pacers
64,2015-11-04,Philadelphia 76ers,Milwaukee Bucks
65,2015-11-04,Toronto Raptors,Oklahoma City Thunder
66,2015-11-04,Sacramento Kings,Phoenix Suns
67,2015-11-04,Portland Trail Blazers,Utah Jazz
68,2015-11-04,San Antonio Spurs,Washington Wizards
69,2015-11-05,Oklahoma City Thunder,Chicago Bulls
70,2015-11-05,Charlotte Hornets,Dallas Mavericks
71,2015-11-05,Utah Jazz,Denver Nuggets
72,2015-11-05,Miami Heat,Minnesota Timberwolves
73,2015-11-05,Memphis Grizzlies,Portland Trail Blazers
74,2015-11-06,Washington Wizards,Boston Celtics
75,2015-11-06,Los Angeles Lakers,Brooklyn Nets
76,2015-11-06,Philadelphia 76ers,Cleveland Cavaliers
77,2015-11-06,Denver Nuggets,Golden State Warriors
78,2015-11-06,Miami Heat,Indiana Pacers
79,2015-11-06,Atlanta Hawks,New Orleans Pelicans
80,2015-11-06,Milwaukee Bucks,New York Knicks
81,2015-11-06,Toronto Raptors,Orlando Magic
82,2015-11-06,Detroit Pistons,Phoenix Suns
83,2015-11-06,Houston Rockets,Sacramento Kings
84,2015-11-07,Washington Wizards,Atlanta Hawks
85,2015-11-07,Minnesota Timberwolves,Chicago Bulls
86,2015-11-07,New Orleans Pelicans,Dallas Mavericks
87,2015-11-07,Houston Rockets,Los Angeles Clippers
88,2015-11-07,Brooklyn Nets,Milwaukee Bucks
89,2015-11-07,Orlando Magic,Philadelphia 76ers
90,2015-11-07,Golden State Warriors,Sacramento Kings
91,2015-11-07,Charlotte Hornets,San Antonio Spurs
92,2015-11-07,Memphis Grizzlies,Utah Jazz
93,2015-11-08,Indiana Pacers,Cleveland Cavaliers
94,2015-11-08,Toronto Raptors,Miami Heat
95,2015-11-08,Los Angeles Lakers,New York Knicks
96,2015-11-08,Phoenix Suns,Oklahoma City Thunder
97,2015-11-08,Detroit Pistons,Portland Trail Blazers
98,2015-11-09,Minnesota Timberwolves,Atlanta Hawks
99,2015-11-09,Portland Trail Blazers,Denver Nuggets
100,2015-11-09,Detroit Pistons,Golden State Warriors
101,2015-11-09,Orlando Magic,Indiana Pacers
102,2015-11-09,Memphis Grizzlies,Los Angeles Clippers
103,2015-11-09,Chicago Bulls,Philadelphia 76ers
104,2015-11-09,San Antonio Spurs,Sacramento Kings
105,2015-11-10,Utah Jazz,Cleveland Cavaliers
106,2015-11-10,Los Angeles Lakers,Miami Heat
107,2015-11-10,Boston Celtics,Milwaukee Bucks
108,2015-11-10,Charlotte Hornets,Minnesota Timberwolves
109,2015-11-10,Dallas Mavericks,New Orleans Pelicans
110,2015-11-10,New York Knicks,Toronto Raptors
111,2015-11-10,Oklahoma City Thunder,Washington Wizards
112,2015-11-11,New Orleans Pelicans,Atlanta Hawks
113,2015-11-11,Indiana Pacers,Boston Celtics
114,2015-11-11,New York Knicks,Charlotte Hornets
115,2015-11-11,Los Angeles Clippers,Dallas Mavericks
116,2015-11-11,Milwaukee Bucks,Denver Nuggets
117,2015-11-11,Brooklyn Nets,Houston Rockets
118,2015-11-11,Golden State Warriors,Memphis Grizzlies
119,2015-11-11,Los Angeles Lakers,Orlando Magic
120,2015-11-11,Toronto Raptors,Philadelphia 76ers
121,2015-11-11,San Antonio Spurs,Portland Trail Blazers
122,2015-11-11,Detroit Pistons,Sacramento Kings
123,2015-11-12,Utah Jazz,Miami Heat
