,Player,Type
327,Aaron Gordon,0
274,Aaron Harrison,2
194,Adreian Payne,0
54,Al Horford,1
387,Al Jefferson,1
53,Al-Farouq Aminu,0
393,Alec Burks,0
264,Alex Len,1
442,Alexis Ajinca,0
276,Allen Crabbe,0
399,Alonzo Gee,0
267,Amar'e Stoudemire,5
59,Amir Johnson,1
199,Anderson Varejao,0
372,Andre Drummond,2
397,Andre Iguodala,0
364,Andre Miller,5
405,Andre Roberson,0
374,Andrea Bargnani,0
434,Andrew Bogut,1
344,Andrew Nicholson,0
186,Andrew Wiggins,1
87,Anthony Bennett,1
346,Anthony Brown,5
225,Anthony Davis,2
259,Anthony Morrow,5
220,Anthony Tolliver,0
222,Archie Goodwin,5
408,Aron Baynes,1
377,Arron Afflalo,0
168,Austin Rivers,0
21,Avery Bradley,0
332,Ben McLemore,0
127,Beno Udrih,5
209,Bismack Biyombo,1
14,Blake Griffin,2
439,Boban Marjanovic,1
271,Bobby Portis,0
305,Bojan Bogdanovic,0
322,Boris Diaw,0
183,Bradley Beal,5
303,Brandan Wright,1
144,Branden Dawson,2
251,Brandon Bass,0
277,Brandon Jennings,1
241,Brandon Knight,1
70,Brandon Rush,0
151,Brian Roberts,1
35,Brook Lopez,2
355,Bruno Caboclo,2
44,Bryce Cotton,6
396,Bryce Dejean-Jones,2
189,CJ McCollum,1
266,CJ Miles,0
316,CJ Watson,1
188,CJ Wilcox,2
99,Cameron Bairstow,2
148,Cameron Payne,5
360,Carl Landry,1
242,Carmelo Anthony,1
29,Caron Butler,1
420,Chandler Parsons,0
388,Channing Frye,0
136,Charles Hayes,2
312,Charlie Villanueva,5
253,Chase Budinger,0
421,Chris Andersen,1
292,Chris Bosh,2
108,Chris Copeland,1
165,Chris Johnson,5
64,Chris Kaman,1
130,Chris Paul,2
446,Christian Wood,5
246,Cleanthony Early,2
76,Cliff Alexander,1
325,Clint Capela,1
378,Cody Zeller,1
255,Cole Aldrich,1
169,Corey Brewer,0
254,Cory Jefferson,5
149,Cory Joseph,1
75,Courtney Lee,0
319,Cristiano Felicio,2
308,D'Angelo Russell,0
431,D.J. Augustin,1
167,Damian Lillard,2
328,Damien Inglis,2
314,Damjan Rudez,5
105,Danilo Gallinari,5
326,Danny Green,0
309,Dante Cunningham,0
171,Darrell Arthur,0
392,Darren Collison,1
172,Darrun Hilliard,1
177,David Lee,0
116,David West,0
100,DeAndre Jordan,2
369,DeJuan Blair,5
333,DeMar DeRozan,1
27,DeMarcus Cousins,2
289,DeMarre Carroll,0
73,Delon Wright,2
275,Dennis Schroder,1
211,Deron Williams,1
435,Derrick Favors,2
380,Derrick Rose,1
4,Derrick Williams,0
206,Devin Booker,0
389,Devin Harris,0
164,Devyn Marble,2
260,Dewayne Dedmon,5
363,Dion Waiters,5
331,Dirk Nowitzki,5
156,Donald Sloan,5
68,Donatas Motiejunas,5
226,Doug McDermott,0
7,Draymond Green,2
278,Drew Gooden,5
413,Dwight Howard,2
36,Dwight Powell,5
279,Dwyane Wade,1
238,E'Twaun Moore,0
162,Ed Davis,1
122,Elfrid Payton,1
43,Elijah Millsap,5
342,Elliot Williams,2
341,Emmanuel Mudiay,1
39,Enes Kanter,1
81,Eric Bledsoe,2
321,Eric Gordon,0
223,Eric Moreland,1
178,Erick Green,2
66,Ersan Ilyasova,0
400,Evan Fournier,0
146,Evan Turner,5
233,Festus Ezeli,1
239,Frank Kaminsky,0
227,Garrett Temple,0
441,Gary Harris,0
123,Gary Neal,0
2,George Hill,5
426,Gerald Green,0
371,Gerald Henderson,0
110,Giannis Antetokounmpo,1
235,Glenn Robinson,5
103,Goran Dragic,1
285,Gordon Hayward,1
157,Gorgui Dieng,1
417,Greg Monroe,2
265,Greivis Vasquez,5
297,Harrison Barnes,0
263,Hassan Whiteside,2
243,Hollis Thompson,0
299,Ian Clark,5
324,Ian Mahinmi,1
343,Iman Shumpert,1
284,Isaiah Canaan,5
17,Isaiah Thomas,2
90,Ish Smith,1
410,J.J. O'Brien,2
318,J.R. Smith,0
93,JJ Hickson,1
345,JJ Redick,5
394,JaKarr Sampson,0
257,JaMychal Green,0
166,JaVale McGee,1
290,Jabari Parker,0
244,Jae Crowder,0
273,Jahlil Okafor,2
85,Jamal Crawford,5
208,Jameer Nelson,1
375,James Anderson,1
18,James Ennis,1
425,James Harden,2
58,James Johnson,0
26,James Jones,5
301,James Michael McAdoo,5
121,James Young,1
185,Jared Cunningham,5
402,Jared Dudley,0
19,Jared Sullinger,5
433,Jarell Eddie,1
3,Jarell Martin,2
210,Jarnell Stokes,2
409,Jarrett Jack,5
69,Jason Smith,0
174,Jason Terry,5
361,Jason Thompson,1
205,Jeff Ayres,3
155,Jeff Green,0
143,Jeff Teague,1
104,Jeff Withey,5
25,Jerami Grant,0
119,Jeremy Evans,5
247,Jeremy Lamb,0
440,Jeremy Lin,1
49,Jerian Grant,5
354,Jerryd Bayless,5
291,Jimmer Fredette,2
74,Jimmy Butler,2
16,Joakim Noah,5
15,Jodie Meeks,2
173,Joe Harris,2
86,Joe Ingles,5
22,Joe Johnson,5
428,Joe Young,5
57,Joel Anthony,2
350,Joffrey Lauvergne,5
403,John Henson,1
133,John Jenkins,5
230,John Wall,2
304,Johnny O'Bryant,0
95,Jon Leuer,0
407,Jonas Jerebko,0
293,Jonas Valanciunas,2
60,Jonathon Simmons,5
101,Jordan Adams,2
102,Jordan Clarkson,0
79,Jordan Hill,1
280,Jordan Mickey,2
184,Jose Calderon,1
424,Jose Juan Barea,5
256,Josh McRoberts,0
112,Josh Richardson,5
83,Josh Smith,0
437,Jrue Holiday,1
30,Julius Randle,5
37,Justin Anderson,1
202,Justin Holiday,5
48,Justise Winslow,0
406,Jusuf Nurkic,1
339,KJ McDaniels,1
219,Karl-Anthony Towns,2
386,Kawhi Leonard,5
140,Keith Appling,2
114,Kelly Olynyk,0
302,Kelly Oubre,5
132,Kemba Walker,2
221,Kendall Marshall,5
436,Kendrick Perkins,5
179,Kenneth Faried,2
365,Kent Bazemore,0
96,Kentavious Caldwell-Pope,0
163,Kevin Durant,2
430,Kevin Garnett,0
12,Kevin Love,1
107,Kevin Martin,0
229,Kevin Seraphin,0
51,Khris Middleton,5
145,Kirk Hinrich,5
281,Klay Thompson,5
94,Kobe Bryant,5
196,Kosta Koufos,1
11,Kostas Papanikolaou,5
111,Kris Humphries,0
419,Kristaps Porzingis,5
294,Kyle Anderson,5
250,Kyle Korver,5
8,Kyle Lowry,2
56,Kyle O'Quinn,0
249,Kyle Singler,5
170,Kyrie Irving,5
124,LaMarcus Aldridge,1
55,Lamar Patterson,5
237,Lance Stephenson,0
240,Lance Thomas,0
296,Langston Galloway,0
181,Larry Nance Jr.,0
384,Lavoy Allen,0
34,LeBron James,2
432,Leandro Barbosa,0
228,Lorenzo Brown,1
445,Lou Amundson,5
320,Lou Williams,5
213,Luc Mbah a Moute,0
84,Lucas Nogueira,1
61,Luis Montero,2
383,Luis Scola,0
261,Luke Babbitt,5
77,Luol Deng,0
71,Manu Ginobili,0
31,Marc Gasol,2
311,Marcelo Huertas,5
385,Marcin Gortat,2
286,Marco Belinelli,0
379,Marcus Morris,0
131,Marcus Smart,0
142,Marcus Thornton,0
45,Mario Chalmers,5
401,Mario Hezonja,5
287,Markel Brown,5
411,Markieff Morris,0
313,Marreese Speights,0
204,Marvin Williams,0
337,Mason Plumlee,1
338,Matt Barnes,0
323,Matt Bonner,1
415,Matthew Dellavedova,5
98,Maurice Harkless,0
117,Metta World Peace,0
138,Meyers Leonard,0
28,Michael Carter-Williams,1
139,Mike Conley,1
6,Mike Miller,1
315,Mike Muscala,5
153,Mike Scott,0
109,Miles Plumlee,5
262,Mirza Teletovic,0
422,Mitch McGary,1
214,Mo Williams,5
150,Monta Ellis,1
63,Montrezl Harrell,5
381,Myles Turner,1
358,Nate Robinson,6
367,Nemanja Bjelica,0
129,Nene,1
395,Nerlens Noel,1
252,Nick Collison,0
192,Nick Young,5
373,Nicolas Batum,5
24,Nik Stauskas,0
366,Nikola Jokic,1
