,Player,Type
21,Aaron Brooks,5
408,Aaron Gordon,5
338,Aaron Harrison,5
234,Adreian Payne,5
69,Al Horford,5
483,Al Jefferson,5
68,Al-Farouq Aminu,5
169,Alan Anderson,5
490,Alec Burks,5
289,Alex Kirk,5
315,Alex Len,5
397,Alexey Shved,5
547,Alexis Ajinca,5
341,Allen Crabbe,5
497,Alonzo Gee,5
330,Amar'e Stoudemire,5
74,Amir Johnson,5
241,Anderson Varejao,5
320,Andre Dawkins,5
465,Andre Drummond,5
495,Andre Iguodala,5
454,Andre Miller,5
506,Andre Roberson,5
467,Andrea Bargnani,5
549,Andrei Kirilenko,5
539,Andrew Bogut,5
430,Andrew Nicholson,5
128,Andrew Wiggins,5
106,Anthony Bennett,5
432,Anthony Brown,5
275,Anthony Davis,5
266,Anthony Morrow,5
269,Anthony Tolliver,5
272,Archie Goodwin,5
444,Arinze Onuaku,5
509,Aron Baynes,5
471,Arron Afflalo,5
14,Austin Daye,5
204,Austin Rivers,5
29,Avery Bradley,5
487,Ben Gordon,5
413,Ben McLemore,5
151,Beno Udrih,5
125,Bernard James,5
255,Bismack Biyombo,5
19,Blake Griffin,5
544,Boban Marjanovic,5
334,Bobby Portis,5
379,Bojan Bogdanovic,5
403,Boris Diaw,5
222,Bradley Beal,5
377,Brandan Wright,5
173,Branden Dawson,5
306,Brandon Bass,5
322,Brandon Davies,5
342,Brandon Jennings,5
294,Brandon Knight,5
88,Brandon Rush,5
476,Brendan Haywood,5
181,Brian Roberts,5
43,Brook Lopez,5
443,Bruno Caboclo,5
56,Bryce Cotton,5
494,Bryce Dejean-Jones,5
229,CJ McCollum,5
329,CJ Miles,5
177,CJ Watson,5
228,CJ Wilcox,5
117,Cameron Bairstow,5
178,Cameron Payne,5
448,Carl Landry,5
11,Carlos Boozer,5
295,Carmelo Anthony,5
37,Caron Butler,5
436,Cartier Martin,5
523,Chandler Parsons,5
484,Channing Frye,5
161,Charles Hayes,5
393,Charlie Villanueva,5
396,Chase Budinger,5
524,Chris Andersen,5
362,Chris Bosh,5
127,Chris Copeland,5
531,Chris Douglas-Roberts,5
201,Chris Johnson,5
81,Chris Kaman,5
154,Chris Paul,5
553,Christian Wood,5
301,Cleanthony Early,5
94,Cliff Alexander,5
406,Clint Capela,5
472,Cody Zeller,5
310,Cole Aldrich,5
205,Corey Brewer,5
309,Cory Jefferson,5
179,Cory Joseph,5
93,Courtney Lee,5
400,Cristiano Felicio,5
383,D'Angelo Russell,5
536,D.J. Augustin,5
424,Dahntay Jones,5
203,Damian Lillard,5
239,Damien Inglis,5
395,Damjan Rudez,5
123,Danilo Gallinari,5
66,Danny Granger,5
407,Danny Green,5
385,Dante Cunningham,5
382,Dante Exum,5
457,Darius Miller,5
211,Darius Morris,5
207,Darrell Arthur,5
489,Darren Collison,5
208,Darrun Hilliard,5
214,David Lee,5
103,David Stockton,5
198,David Wear,5
139,David West,5
118,DeAndre Jordan,5
460,DeJuan Blair,5
414,DeMar DeRozan,5
35,DeMarcus Cousins,5
491,DeMarre Carroll,5
535,Delon Wright,5
340,Dennis Schroder,5
257,Deron Williams,5
540,Derrick Favors,5
474,Derrick Rose,5
4,Derrick Williams,5
251,Devin Booker,5
485,Devin Harris,5
200,Devyn Marble,5
317,Dewayne Dedmon,5
453,Dion Waiters,5
412,Dirk Nowitzki,5
187,Donald Sloan,5
86,Donatas Motiejunas,5
79,Dorell Wright,5
277,Doug McDermott,5
9,Draymond Green,5
344,Drew Gooden,5
333,Drew Gordon,5
194,Dwight Buycks,5
515,Dwight Howard,5
44,Dwight Powell,5
345,Dwyane Wade,5
290,E'Twaun Moore,5
218,Earl Barron,5
114,Earl Clark,5
196,Ed Davis,5
318,Ekpe Udoh,5
146,Elfrid Payton,5
55,Elijah Millsap,5
425,Elliot Williams,5
498,Elton Brand,5
423,Emmanuel Mudiay,5
50,Enes Kanter,5
99,Eric Bledsoe,5
402,Eric Gordon,5
462,Eric Moreland,5
215,Erick Green,5
83,Ersan Ilyasova,5
499,Evan Fournier,5
175,Evan Turner,5
284,Festus Ezeli,5
464,Francisco Garcia,5
291,Frank Kaminsky,5
409,Furkan Aldemir,5
518,Gal Mekel,5
278,Garrett Temple,5
546,Gary Harris,5
147,Gary Neal,5
2,George Hill,5
529,Gerald Green,5
463,Gerald Henderson,5
298,Gerald Wallace,5
20,Giannis Antetokounmpo,5
242,Gigi Datome,5
415,Glen Davis,5
265,Glen Rice Jr.,5
286,Glenn Robinson,5
121,Goran Dragic,5
353,Gordon Hayward,5
188,Gorgui Dieng,5
507,Grant Jerrett,5
520,Greg Monroe,5
332,Greg Smith,5
276,Greg Stiemsma,5
328,Greivis Vasquez,5
369,Harrison Barnes,5
325,Hassan Whiteside,5
363,Hedo Turkoglu,5
384,Henry Sims,5
54,Henry Walker,5
297,Hollis Thompson,5
371,Ian Clark,5
405,Ian Mahinmi,5
429,Iman Shumpert,5
352,Isaiah Canaan,5
25,Isaiah Thomas,5
80,Ish Smith,5
511,J.J. O'Brien,5
399,J.R. Smith,5
292,JJ Hickson,5
431,JJ Redick,5
359,JaKarr Sampson,5
312,JaMychal Green,5
202,JaVale McGee,5
46,Jabari Brown,5
360,Jabari Parker,5
513,Jack Cooley,5
299,Jae Crowder,5
337,Jahlil Okafor,5
172,Jamaal Franklin,5
104,Jamal Crawford,5
253,Jameer Nelson,5
469,James Anderson,5
26,James Ennis,5
528,James Harden,5
73,James Johnson,5
34,James Jones,5
375,James Michael McAdoo,5
145,James Young,5
12,Jannero Pargo,5
225,Jared Cunningham,5
503,Jared Dudley,5
27,Jared Sullinger,5
538,Jarell Eddie,5
3,Jarell Martin,5
256,Jarnell Stokes,5
510,Jarrett Jack,5
373,Jason Maxiell,5
134,Jason Richardson,5
87,Jason Smith,5
210,Jason Terry,5
451,Jason Thompson,5
63,Jeff Adrien,5
250,Jeff Ayres,5
186,Jeff Green,5
336,Jeff Taylor,5
171,Jeff Teague,5
122,Jeff Withey,5
33,Jerami Grant,5
59,Jerel McNeal,5
143,Jeremy Evans,5
302,Jeremy Lamb,5
545,Jeremy Lin,5
372,Jerian Grant,5
164,Jerome Jordan,5
316,Jerrelle Benimon,5
442,Jerryd Bayless,5
361,Jimmer Fredette,5
92,Jimmy Butler,5
24,Joakim Noah,5
22,Jodie Meeks,5
209,Joe Harris,5
105,Joe Ingles,5
30,Joe Johnson,5
532,Joe Young,5
72,Joel Anthony,5
428,Joel Freeland,5
347,Joey Dorsey,5
438,Joffrey Lauvergne,5
504,John Henson,5
158,John Jenkins,5
141,John Lucas III,5
271,John Salmons,5
281,John Wall,5
378,Johnny O'Bryant,5
112,Jon Leuer,5
508,Jonas Jerebko,5
364,Jonas Valanciunas,5
75,Jonathon Simmons,5
119,Jordan Adams,5
120,Jordan Clarkson,5
129,Jordan Farmar,5
23,Jordan Hamilton,5
97,Jordan Hill,5
346,Jordan Mickey,5
95,Jorge Gutierrez,5
223,Jose Calderon,5
527,Jose Juan Barea,5
311,Josh McRoberts,5
131,Josh Richardson,5
101,Josh Smith,5
542,Jrue Holiday,5
38,Julius Randle,5
45,Justin Anderson,5
502,Justin Hamilton,5
327,Justin Holiday,5
62,Justise Winslow,5
314,Jusuf Nurkic,5
421,KJ McDaniels,5
392,Kalin Lucas,5
267,Karl-Anthony Towns,5
481,Kawhi Leonard,5
165,Keith Appling,5
136,Kelly Olynyk,5
376,Kelly Oubre,5
157,Kemba Walker,5
270,Kendall Marshall,5
541,Kendrick Perkins,5
217,Kenneth Faried,5
456,Kent Bazemore,5
113,Kentavious Caldwell-Pope,5
482,Kenyon Martin,5
197,Kevin Durant,5
91,Kevin Garnett,5
17,Kevin Love,5
126,Kevin Martin,5
280,Kevin Seraphin,5
65,Khris Middleton,5
174,Kirk Hinrich,5
348,Klay Thompson,5
111,Kobe Bryant,5
236,Kosta Koufos,5
16,Kostas Papanikolaou,5
130,Kris Humphries,5
522,Kristaps Porzingis,5
365,Kyle Anderson,5
305,Kyle Korver,5
10,Kyle Lowry,5
71,Kyle O'Quinn,5
324,Kyle Singler,5
206,Kyrie Irving,5
148,LaMarcus Aldridge,5
70,Lamar Patterson,5
288,Lance Stephenson,5
245,Lance Thomas,5
427,Landry Fields,5
368,Langston Galloway,5
273,Larry Drew,5
220,Larry Nance Jr.,5
326,Larry Sanders,5
479,Lavoy Allen,5
42,LeBron James,5
537,Leandro Barbosa,5
224,Lester Hudson,5
279,Lorenzo Brown,5
551,Lou Amundson,5
401,Lou Williams,5
259,Luc Mbah a Moute,5
102,Lucas Nogueira,5
76,Luis Montero,5
478,Luis Scola,5
319,Luke Babbitt,5
48,Luke Ridnour,5
8,Luol Deng,5
246,Malcolm Lee,5
49,Malcolm Thomas,5
89,Manu Ginobili,5
39,Marc Gasol,5
389,Marcelo Huertas,5
480,Marcin Gortat,5
354,Marco Belinelli,5
473,Marcus Morris,5
155,Marcus Smart,5
167,Marcus Thornton,5
57,Mario Chalmers,5
501,Mario Hezonja,5
355,Markel Brown,5
512,Markieff Morris,5
394,Marreese Speights,5
268,Martell Webster,5
249,Marvin Williams,5
419,Mason Plumlee,5
420,Matt Barnes,5
404,Matt Bonner,5
517,Matthew Dellavedova,5
116,Maurice Harkless,5
140,Metta World Peace,5
163,Meyers Leonard,5
391,Michael Beasley,5
36,Michael Carter-Williams,5
170,Michael Kidd-Gilchrist,5
390,Mike Conley,5
493,Mike Dunleavy,5
7,Mike Miller,5
244,Mike Muscala,5
183,Mike Scott,5
226,Miles Plumlee,5
554,Miroslav Raduljica,5
304,Mirza Teletovic,5
525,Mitch McGary,5
260,Mo Williams,5
180,Monta Ellis,5
468,Montrezl Harrell,5
475,Myles Turner,5
446,Nate Robinson,5
216,Nate Wolters,5
47,Nazr Mohammed,5
458,Nemanja Bjelica,5
153,Nene,5
492,Nerlens Noel,5
240,Nick Calathes,5
307,Nick Collison,5
450,Nick Johnson,5
232,Nick Young,5
466,Nicolas Batum,5
32,Nik Stauskas,5
534,Nikola Jokic,5
530,Nikola Mirotic,5
233,Nikola Pekovic,5
18,Nikola Vucevic,5
109,Noah Vonleh,5
248,Norman Powell,5
321,Norris Cole,5
84,O.J. Mayo,5
387,Ognjen Kuzmic,5
381,Omer Asik,5
152,Omri Casspi,5
488,Otto Porter,5
96,PJ Hairston,5
235,PJ Tucker,5
142,Pablo Prigioni,5
366,Pat Connaughton,5
263,Patrick Beverley,5
184,Patrick Christopher,5
351,Patrick Patterson,5
519,Patty Mills,5
0,Pau Gasol,5
550,Paul George,5
28,Paul Millsap,5
516,Paul Pierce,5
339,Pero Antic,5
296,Perry Jones,5
470,Phil Pressey,5
293,Quincy Acy,5
231,Quincy Miller,5
477,Quincy Pondexter,5
433,RJ Hunter,5
115,Rajon Rondo,5
331,Ramon Sessions,5
5,Randy Foye,5
548,Rashad Vaughn,5
77,Rasual Butler,5
252,Raul Neto,5
435,Ray McCallum,5
13,Raymond Felton,5
162,Reggie Bullock,5
61,Reggie Evans,5
90,Reggie Jackson,5
426,Reggie Williams,5
418,Richard Jefferson,5
41,Richaun Holmes,5
323,Ricky Ledo,5
343,Ricky Rubio,5
6,Robbie Hummel,5
262,Robert Covington,5
370,Robert Sacre,5
283,Robin Lopez,5
357,Rodney Hood,5
149,Rodney Stuckey,5
349,Rondae Hollis-Jefferson,5
133,Ronnie Price,5
388,Ronny Turiaf,5
189,Roy Hibbert,5
335,Rudy Gay,5
213,Rudy Gobert,5
190,Russ Smith,5
410,Russell Westbrook,5
434,Ryan Anderson,5
514,Ryan Hollins,5
445,Ryan Kelly,5
64,Salah Mejri,5
98,Sam Dekker,5
437,Samuel Dalembert,5
526,Sasha Kaun,5
60,Sasha Vujacic,5
440,Sean Kilpatrick,5
199,Sebastian Telfair,5
439,Serge Ibaka,5
53,Sergey Karasev,5
374,Seth Curry,5
521,Shabazz Muhammad,5
422,Shabazz Napier,5
486,Shane Larkin,5
500,Shannon Brown,5
219,Shaun Livingston,5
176,Shavlik Randolph,5
356,Shawn Marion,5
358,Shawne Williams,5
238,Shayne Whittington,5
185,Shelvin Mack,5
195,Sim Bhullar,5
282,Solomon Hill,5
227,Sonny Weems,5
447,Spencer Dinwiddie,5
300,Spencer Hawes,5
496,Stanley Johnson,5
124,Stephen Curry,5
261,Steve Blake,5
380,Steve Novak,5
137,Steven Adams,5
191,TJ McConnell,5
67,TJ Warren,5
274,Taj Gibson,5
107,Tarik Black,5
459,Tayshaun Prince,5
543,Terrence Jones,5
461,Terrence Ross,5
58,Terry Rozier,5
166,Thabo Sefolosha,5
15,Thaddeus Young,5
212,Thomas Robinson,5
303,Tiago Splitter,5
1,Tibor Pleiss,5
416,Tim Duncan,5
285,Tim Frazier,5
132,Tim Hardaway Jr.,5
313,Timofey Mozgov,5
398,Tobias Harris,5
237,Toney Douglas,5
192,Tony Allen,5
40,Tony Parker,5
452,Tony Snell,5
110,Tony Wroten,5
85,Toure Murry,5
247,Travis Wear,5
449,Trevor Ariza,5
159,Trevor Booker,5
505,Trey Burke,5
411,Trey Lyles,5
386,Tristan Thompson,5
150,Troy Daniels,5
51,Ty Lawson,5
230,Tyler Ennis,5
243,Tyler Hansbrough,5
108,Tyler Johnson,5
78,Tyler Zeller,5
160,Tyreke Evans,5
455,Tyrus Thomas,5
441,Tyson Chandler,5
144,Tyus Jones,5
264,Udonis Haslem,5
138,Vander Blue,5
156,Victor Claver,5
533,Victor Oladipo,5
221,Vince Carter,5
82,Walter Tavares,5
417,Wayne Ellington,5
135,Wesley Johnson,5
52,Wesley Matthews,5
31,Will Barton,5
350,Will Bynum,5
193,Will Cherry,5
258,Willie Cauley-Stein,5
254,Willie Green,5
287,Willie Reed,5
308,Wilson Chandler,5
367,Xavier Henry,5
182,Zach LaVine,5
552,Zach Randolph,5
100,Zaza Pachulia,5
168,Zoran Dragic,5
