,Player,Avg. MP,Avg. FP,Pred. FP,Diff. FP
42,Zaza Pachulia,21.0,17.6,21.9,4.3
38,Robin Lopez,22.0,18.3,22.3,4.0
48,Lance Thomas,20.4,11.5,15.1,3.6
33,Joe Ingles,20.9,13.0,16.5,3.5
52,Tyler Zeller,20.3,17.1,20.2,3.1
41,Shaun Livingston,20.4,15.2,18.0,2.8
35,Jerryd Bayless,22.0,17.9,20.6,2.7
58,Derrick Favors,25.0,25.7,28.4,2.7
37,Avery Bradley,23.7,16.3,18.8,2.5
57,Gerald Green,20.1,17.4,19.8,2.4
54,Marcus Smart,23.7,17.6,20.0,2.4
2,Corey Brewer,25.1,19.6,21.8,2.2
59,Jason Terry,25.4,19.1,21.3,2.2
61,Jared Dudley,24.8,17.7,19.9,2.2
47,Derrick Williams,21.8,16.7,18.8,2.1
21,Devin Harris,22.1,18.4,20.5,2.1
11,Marcus Thornton,23.6,19.4,21.4,2.0
53,Khris Middleton,24.8,19.4,21.4,2.0
6,Beno Udrih,20.7,16.6,18.6,2.0
39,Isaiah Thomas,27.0,26.3,28.1,1.8
24,O.J. Mayo,26.4,21.3,23.1,1.8
23,Jason Thompson,25.2,20.0,21.8,1.8
43,Harrison Barnes,27.8,19.6,21.4,1.8
17,Patrick Beverley,23.1,17.6,19.3,1.7
51,Draymond Green,23.3,22.1,23.8,1.7
56,Ramon Sessions,23.8,20.8,22.4,1.6
65,Langston Galloway,32.4,25.0,26.5,1.5
32,Andrew Bogut,24.6,24.6,26.1,1.5
27,Giannis Antetokounmpo,27.4,22.5,24.0,1.5
69,Amir Johnson,26.4,22.5,23.9,1.4
28,Boris Diaw,25.4,19.5,20.9,1.4
7,Danny Green,24.9,20.2,21.5,1.3
66,Marcin Gortat,29.4,28.4,29.5,1.1
9,Tony Parker,30.2,29.9,31.0,1.1
31,Arron Afflalo,32.9,23.8,24.9,1.1
15,Evan Turner,28.0,23.5,24.4,0.9
12,Jose Calderon,28.6,24.3,25.2,0.9
40,Mario Chalmers,27.5,20.1,21.0,0.9
10,Jared Sullinger,24.6,25.8,26.6,0.8
45,Raymond Felton,27.3,23.6,24.3,0.7
3,Trevor Ariza,31.7,25.9,26.5,0.6
13,Greg Monroe,30.8,31.9,32.5,0.6
16,Gordon Hayward,28.6,24.7,25.3,0.6
50,Amar'e Stoudemire,23.6,24.4,25.0,0.6
49,Wesley Matthews,33.3,24.9,25.1,0.2
55,Trey Burke,29.4,24.1,24.3,0.2
36,Dwyane Wade,32.8,36.4,36.5,0.1
14,Kawhi Leonard,27.8,26.0,26.1,0.1
46,Bradley Beal,30.8,25.9,26.0,0.1
67,Manu Ginobili,24.0,25.6,25.7,0.1
68,James Harden,33.8,37.7,37.7,0.0
0,John Wall,34.3,37.7,37.7,0.0
34,Andre Iguodala,32.6,27.9,27.8,-0.1
44,Chandler Parsons,32.5,27.2,27.0,-0.2
62,Klay Thompson,32.5,28.1,27.9,-0.2
20,David Lee,29.4,30.5,30.2,-0.3
25,Tim Duncan,29.4,35.7,35.2,-0.5
29,Luol Deng,35.5,28.5,27.9,-0.6
30,Goran Dragic,29.2,27.8,27.2,-0.6
5,David West,30.3,28.7,28.0,-0.7
26,Chris Bosh,31.9,29.9,29.0,-0.9
1,Ty Lawson,31.5,30.9,29.7,-1.2
8,Stephen Curry,35.0,41.8,40.5,-1.3
64,Michael Carter-Williams,30.9,33.0,31.4,-1.6
60,Dwight Howard,32.8,40.4,38.7,-1.7
19,Deron Williams,32.4,32.3,30.6,-1.7
18,Dirk Nowitzki,31.8,34.0,32.0,-2.0
22,Josh Smith,32.9,35.9,33.6,-2.3
4,Carmelo Anthony,34.0,39.3,36.3,-3.0
63,LaMarcus Aldridge,35.7,39.4,36.3,-3.1
